skim_type,skim_variable,n_missing,complete_rate,Date.min,Date.max,Date.median,Date.n_unique,character.min,character.max,character.empty,character.n_unique,character.whitespace,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
Date,date,0,1,2010-01-04,2026-02-19,2018-01-24,4052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
character,dir_5d,0,1,NA,NA,NA,NA,4,7,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,dir_30d,0,1,NA,NA,NA,NA,4,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
character,dir_90d,0,1,NA,NA,NA,NA,4,7,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
numeric,usd_brl_ptax,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.713464190523198,1.41192392527231,1.5345,2.2601,3.7237,5.165175,6.2086,▇▅▅▅▅
numeric,petroleo_brent,136,0.9664363277393879,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.34855718242501,23.348747724743802,19.989999771118164,60.67749881744385,74.93499755859375,97.00749969482422,127.9800033569336,▁▅▇▃▅
numeric,petroleo_wti,105,0.9740868706811451,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.45843679801645,20.700251921611226,-37.630001068115234,54.46000099182129,71.33000183105469,88.125,123.6999969482422,▁▁▅▇▃
numeric,dxy,104,0.9743336623889437,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.76725941226113,9.32917448743221,72.93000030517578,82.58000183105469,95.16999816894533,99.12999725341795,114.11000061035156,▅▂▇▆▁
numeric,ewz,105,0.9740868706811451,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.64524205316312,5.70016803577303,10.28116226196289,22.16687774658203,25.437597274780273,28.625900268554688,40.899044036865234,▁▃▇▃▂
numeric,ouro,106,0.9738400789733465,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690.4731361478098,650.2846753653293,1050.800048828125,1269.7499694824219,1513.1500244140625,1837.6499633789062,5318.39990234375,▇▂▁▁▁
numeric,cobre,105,0.9740868706811451,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4338590040187578,0.7965348305112164,1.9394999742507937,2.7929999828338623,3.3394999504089355,4.0395002365112305,6.17549991607666,▆▇▆▂▁
numeric,usd_brl,475,0.8827739387956565,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.713712068353247,1.413250610192074,1.5336999893188477,2.265000104904175,3.731699943542481,5.162399768829346,6.300000190734863,▇▅▅▆▅
numeric,ibovespa,54,0.9866732477788747,NA,NA,NA,NA,NA,NA,NA,NA,NA,85448.31340670335,31031.503150216504,37497,57634.25,75401.5,112513.25,189699,▇▃▆▂▁
numeric,sp500,105,0.9740868706811451,NA,NA,NA,NA,NA,NA,NA,NA,NA,2979.415431082324,1530.132075641327,1022.5800170898438,1819.22998046875,2605,4115.460205078125,6978.60009765625,▇▅▃▂▂
numeric,nasdaq,105,0.9740868706811451,NA,NA,NA,NA,NA,NA,NA,NA,NA,8559.585853006436,5627.51505066846,2091.7900390625,4077.655029296875,6915.10986328125,12841.5498046875,23958.470703125,▇▃▃▂▁
numeric,vix,105,0.9740868706811451,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3741297230166,6.834685424154393,9.140000343322754,13.770000457763672,16.65999984741211,20.969999313354492,82.69000244140625,▇▂▁▁▁
numeric,core_cpi_us,3938,0.028134254689042404,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.6370350877193,32.58122091019239,220.731,234.48225000000002,253.31400000000002,282.9715,331.814,▇▆▃▂▃
